"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"HUM GEN 236A - CANTOR, R.M.",0.556,0.167,0.111,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I A STD 1 - MOORE, A.D.",0.565,0.149,NA,0.054,0.065,0.071,0.024,0.012,0.024,NA,NA,0.012,0.024
"I A STD 191 - LEE, Y.B.",0.375,0.083,NA,0.167,0.083,0.042,0.083,0.042,0.125,NA,NA,NA,NA
"I E STD C160 - VINE, B.H.",0.417,0.167,NA,0.167,0.167,0.083,NA,NA,NA,NA,NA,NA,NA
"I M STD 155 - AGADJANIAN, V.",0.231,0.385,0.154,NA,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"IL AMER 18A - DE LA TORRE, L.",0.167,0.25,0.5,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA
"INDO 1 - WIJAYA, J.",0.556,NA,0.333,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"INDO 100A - WIJAYA, J.",0.444,0.444,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"INF STD 211 - DRUCKER, J.R.",0.6,0.364,NA,0.018,NA,0.018,NA,NA,NA,NA,NA,NA,NA
"INF STD 227 - NOBLE, S.U.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 260 - LEAZER, G.H.",0.604,0.358,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,0.019
"INF STD 271 - GOMEZ, J.N.",0.571,0.071,0.143,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - BLANCHETTE, J.",0.231,0.231,0.231,NA,NA,0.308,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - DRUCKER, J.R.",0.7,NA,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - TADIC, L.K.",0.5,NA,NA,0.1,0.1,0.3,NA,NA,NA,NA,NA,NA,NA
"INF STD 289 - VANCOUR, S.G.",0.462,0.462,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"INF STD 30 - LIEVROUW, L.A.",0.235,0.338,NA,0.147,0.029,0.191,0.015,NA,0.044,NA,NA,NA,NA
"INF STD 423 - KARATSU, R.D.",NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INF STD 431 - GILLILAND, A.J.",0.6,0.35,0.025,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA
"INF STD 434 - CASWELL, M.L.",0.615,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INTL DV 1 - ANJUM, E.",0.466,0.343,0.01,0.059,0.025,0.083,NA,0.01,0.005,NA,NA,NA,NA
"INTL DV 160 - FUENTES-DASTE, L.",0.111,0.111,0.074,0.37,NA,0.296,NA,NA,NA,NA,NA,NA,0.037
"INTL DV 160 - ROSS, M.L.",0.296,0.093,0.056,0.278,0.037,0.111,0.074,NA,0.056,NA,NA,NA,NA
"INTL DV 191 - FUENTES-DASTE, L.",0.042,0.208,0.083,0.292,0.083,0.125,0.042,NA,0.125,NA,NA,NA,NA
"IRANIAN 102A - HAGIGI, L.E.",0.8,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 103A - INGENITO, D.",0.2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 1A - POURZANGI, B.",0.778,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN 20A - HAGIGI, L.E.",0.818,0.152,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRANIAN M105A - SAIEDI, N.",0.651,0.279,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA
"IRANIAN M60 - SHAYEGAN, M.R.",NA,0.429,0.143,0.286,0.143,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 1 - LAVAGNINO, C.G.",0.326,0.169,0.169,0.056,0.011,0.135,0.045,0.011,0.056,0.022,NA,NA,NA
"ITALIAN 114B - MOROSINI, R.",0.4,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 2 - TRUONG, H.T.",0.44,0.12,0.16,NA,0.04,0.12,0.04,0.04,NA,NA,NA,NA,0.04
"ITALIAN 3 - SPANO, O.",0.348,0.087,0.087,0.174,0.043,0.217,NA,NA,NA,0.043,NA,NA,NA
"ITALIAN 4 - LAVAGNINO, C.G.",0.556,0.333,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITALIAN 46 - HARRISON, T.J.",0.245,0.275,0.01,0.157,0.049,0.127,0.039,NA,0.039,0.01,0.01,0.029,0.01
"JAPAN 1 - KAWANISHI, Y.",0.402,0.218,0.023,0.126,0.046,0.08,0.034,NA,0.023,NA,0.011,0.011,0.023
"JAPAN 1 - TAKAKURA, A.H.",0.459,0.271,0.165,0.024,0.024,0.012,0.024,NA,NA,0.012,0.012,NA,NA
"JAPAN 100A - NOGAMI, Y.",0.178,0.222,0.022,0.089,0.178,0.067,0.022,0.111,0.067,0.022,NA,NA,0.022
"JAPAN 100R - IKEDA, E.",0.235,0.412,NA,0.059,NA,0.294,NA,NA,NA,NA,NA,NA,NA
"JAPAN 101A - KAWANISHI, Y.",0.526,0.263,0.105,0.053,NA,NA,NA,NA,0.053,NA,NA,NA,NA
"JAPAN 110A - KANESAKA, K.K.",NA,0.091,0.273,NA,0.182,0.364,NA,0.091,NA,NA,NA,NA,NA
"JAPAN 161 - BODIFORD, W.M.",0.333,0.033,0.033,0.2,0.033,0.233,0.1,NA,NA,NA,NA,NA,0.033
"JAPAN 191B - YAMAZAKI, J.",0.571,0.214,NA,0.071,0.143,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 297B - YAMAZAKI, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAPAN 4 - IKEDA, E.",0.074,0.37,0.148,0.111,NA,0.185,NA,NA,0.074,0.037,NA,NA,NA
"JAPAN 4 - MENJO, S.",0.048,0.286,NA,0.19,0.048,0.238,0.095,0.048,NA,NA,NA,0.048,NA
"JAPAN 50 - KANESAKA, K.K.",0.382,0.272,0.052,0.081,0.035,0.092,0.017,0.023,0.023,0.012,NA,NA,0.012
"JEWISH 175 - HAKAK, L.",0.529,0.059,NA,0.176,NA,0.029,0.088,0.029,0.029,0.059,NA,NA,NA
"JEWISH M10 - BONESHO, C.E.",0.444,0.185,0.111,0.111,0.037,0.037,NA,0.037,NA,NA,NA,NA,0.037
"JEWISH M182A - SMOAK, J.D.",0.417,0.25,NA,0.083,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"KOREA 1 - CHOI, J.B.",0.447,0.188,0.259,0.082,0.012,0.012,NA,NA,NA,NA,NA,NA,NA
"KOREA 1 - MITSUNAGA, J.I.",0.382,0.146,0.303,0.045,0.034,0.09,NA,NA,NA,NA,NA,NA,NA
"KOREA 100A - YOON, J.E.",0.208,0.167,0.167,0.167,0.083,0.125,0.042,NA,0.042,NA,NA,NA,NA
"KOREA 101A - YOON, J.E.",0.5,0.2,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"KOREA 102A - CHOI, J.B.",0.9,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 104A - JEON, S.",0.667,0.167,0.083,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 172 - OAK, S.",0.567,0.1,NA,0.033,0.033,0.067,0.133,NA,0.033,NA,NA,NA,0.033
"KOREA 180B - JUNG-KIM, J.J.",0.167,0.389,NA,NA,0.056,0.222,0.111,NA,0.056,NA,NA,NA,NA
"KOREA 184A - JUNG-KIM, J.J.",0.229,0.257,0.029,0.057,0.143,0.143,NA,NA,0.143,NA,NA,NA,NA
"KOREA 1A - JU, H.",0.25,0.125,0.583,0.021,NA,NA,0.021,NA,NA,NA,NA,NA,NA
"KOREA 4 - JEON, S.",0.333,0.091,0.424,NA,NA,0.121,NA,NA,NA,NA,0.03,NA,NA
"KOREA 4 - JU, H.",0.35,0.15,0.35,0.05,NA,0.05,NA,NA,0.05,NA,NA,NA,NA
"KOREA 50 - WANG, S.",0.324,0.279,0.015,0.088,0.015,0.191,0.015,NA,0.044,NA,NA,NA,0.029
"KOREA C150 - PARK, H.",0.267,0.067,0.2,0.133,NA,NA,NA,NA,0.2,NA,NA,NA,0.133
"LATIN 1 - BECKELHYMER, S.D.",0.346,0.09,0.41,0.026,0.038,0.013,0.038,0.013,NA,0.013,NA,0.013,NA
"LATIN 3 - BECKELHYMER, S.D.",0.125,0.125,0.25,0.25,NA,NA,NA,NA,0.125,NA,NA,0.125,NA
"LAW 100 - STONE, R.",0.169,0.234,0.026,0.156,0.156,0.26,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - COLLINS, A.",0.216,0.324,0.054,0.054,0.027,0.324,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - CRAMER, J.",0.318,0.318,NA,0.091,0.045,0.227,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LANNING, D.P.",0.268,0.293,0.049,0.024,0.024,0.341,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LIGHT, J.A.",0.243,0.378,0.054,0.108,NA,0.216,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - LYON GROSSMAN, K.A",0.289,0.342,0.053,0.053,NA,0.263,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - WETZSTEIN, S.R.",0.205,0.273,0.045,0.091,0.045,0.341,NA,NA,NA,NA,NA,NA,NA
"LAW 108A - WHITCUP, A.R.",0.289,0.311,0.022,0.089,0.044,0.244,NA,NA,NA,NA,NA,NA,NA
"LAW 120 - DOLOVICH, S.",0.125,0.225,0.025,0.175,0.15,0.3,NA,NA,NA,NA,NA,NA,NA
"LAW 120 - THAXTON, S.",0.154,0.231,0.026,0.154,0.154,0.282,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BALDWIN CLARK, L.J",0.105,0.211,0.053,0.184,0.158,0.289,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BRYANT, T.L.",0.154,0.231,0.026,0.154,0.154,0.282,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - RILEY, A.R.",0.111,0.21,0.049,0.198,0.173,0.259,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - TSOSIE, R.A.",0.14,0.209,0.023,0.186,0.163,0.279,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - ZASLOFF, J.",0.15,0.25,NA,0.2,0.15,0.25,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - EMERSON, B.E.",0.135,0.216,0.054,0.162,0.162,0.27,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - GRADY, M.",0.171,0.237,0.026,0.158,0.158,0.25,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - MORAN, R.F.",0.154,0.231,0.026,0.154,0.154,0.282,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - WANG, A.",0.175,0.238,0.025,0.162,0.15,0.25,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - MARCUS, D.W.",0.184,0.224,0.013,0.158,0.158,0.263,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCALLEN, E.",0.177,0.203,0.013,0.152,0.19,0.266,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCHWARTZ, J.C.",0.141,0.244,0.051,0.154,0.154,0.256,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SPILLENGER, C.S.",0.128,0.231,0.051,0.179,0.103,0.256,NA,NA,0.051,NA,NA,NA,NA
"LAW 201 - VOLOKH, E.",0.155,0.254,0.056,0.127,0.042,0.366,NA,NA,NA,NA,NA,NA,NA
"LAW 202 - COLGAN, B.",0.202,0.263,0.01,0.141,0.01,0.354,0.01,NA,0.01,NA,NA,NA,NA
"LAW 205 - GOODMAN, P.D.",0.16,0.253,0.04,0.12,0.053,0.373,NA,NA,NA,NA,NA,NA,NA
"LAW 207 - SLEVIN, H.F.",0.353,0.059,0.029,0.088,NA,0.471,NA,NA,NA,NA,NA,NA,NA
"LAW 209 - NELSON, G.S.",0.111,0.167,0.167,0.167,0.167,0.222,NA,NA,NA,NA,NA,NA,NA
"LAW 211 - EAGLY, I.",0.152,0.257,0.048,0.181,NA,0.362,NA,NA,NA,NA,NA,NA,NA
"LAW 211 - WONSOWICZ, P.",0.173,0.24,0.029,0.163,0.038,0.356,NA,NA,NA,NA,NA,NA,NA
"LAW 220 - BANK, S.",0.179,0.214,0.018,0.125,0.036,0.375,NA,NA,0.054,NA,NA,NA,NA
"LAW 220 - OH, J.S.",0.186,0.237,0.034,0.153,0.017,0.373,NA,NA,NA,NA,NA,NA,NA
"LAW 228 - BAINBRIDGE, S.M.",0.196,0.196,0.043,0.13,0.022,0.413,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - BAINBRIDGE, S.M.",0.185,0.25,NA,0.141,0.011,0.413,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - KIM, S.H.",0.175,0.243,0.039,0.107,0.068,0.369,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - LOPUCKI, L.M.",0.162,0.235,0.029,0.191,NA,0.382,NA,NA,NA,NA,NA,NA,NA
"LAW 234 - POWER, J.J.",0.127,0.254,0.063,0.19,NA,0.365,NA,NA,NA,NA,NA,NA,NA
"LAW 248 - BUSSEL, D.J.",0.2,0.267,0.133,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 252 - MITTLEMAN, H.A.",0.214,0.143,0.095,0.143,NA,0.405,NA,NA,NA,NA,NA,NA,NA
"LAW 266 - GOMEZ, L.E.",0.333,0.083,0.028,0.083,NA,0.472,NA,NA,NA,NA,NA,NA,NA
"LAW 270 - ABOU EL FADL, K.M.",0.125,0.312,0.062,0.062,0.062,0.375,NA,NA,NA,NA,NA,NA,NA
"LAW 272 - STEINBERG, R.H.",0.278,0.167,0.056,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"LAW 274 - CRITTENDEN, J.W.",0.2,0.218,0.018,0.2,NA,0.364,NA,NA,NA,NA,NA,NA,NA
"LAW 277 - GARDBAUM, S.A.",0.115,0.308,0.038,0.077,NA,0.462,NA,NA,NA,NA,NA,NA,NA
"LAW 290 - HOROWITZ, C.",0.344,0.125,0.031,0.125,NA,0.375,NA,NA,NA,NA,NA,NA,NA
"LAW 300 - HAYDEN, P.T.",0.167,0.217,0.033,0.117,0.05,0.4,NA,NA,0.017,NA,NA,NA,NA
"LAW 302 - NETANEL, N.W.",0.169,0.262,0.046,0.138,0.015,0.354,NA,NA,0.015,NA,NA,NA,NA
"LAW 303 - GENCO, S.C.",0.104,0.239,0.09,0.179,0.015,0.358,NA,NA,0.015,NA,NA,NA,NA
"LAW 305 - AKENS, S.E.",0.162,0.25,0.038,0.2,NA,0.35,NA,NA,NA,NA,NA,NA,NA
"LAW 305 - LA TERZA, N.R.",0.208,0.245,NA,0.189,NA,0.358,NA,NA,NA,NA,NA,NA,NA
"LAW 306 - LICHTMAN, D.G.",0.286,0.171,0.029,0.057,NA,0.457,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - DERIAN, S.K.",0.167,0.226,0.036,0.202,NA,0.369,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - OLSEN, F.E.",0.128,0.245,0.032,0.181,0.021,0.394,NA,NA,NA,NA,NA,NA,NA
"LAW 316 - PENA, C.L.",0.367,0.067,0.033,0.067,NA,0.467,NA,NA,NA,NA,NA,NA,NA
"LAW 318 - SUSMAN, A.L.",0.19,0.333,NA,0.048,NA,0.429,NA,NA,NA,NA,NA,NA,NA
"LAW 319 - TOLSON, F.",0.1,0.25,0.1,0.1,0.05,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 326 - HORWITZ, J.",0.167,0.222,0.056,NA,NA,0.556,NA,NA,NA,NA,NA,NA,NA
"LAW 331 - MOTOMURA, H.",0.161,0.268,0.036,0.089,0.054,0.339,0.018,0.018,0.018,NA,NA,NA,NA
"LAW 350 - BOYD, W.C.",0.35,0.15,NA,0.25,0.05,0.2,NA,NA,NA,NA,NA,NA,NA
"LAW 358 - POWER, J.J.",0.138,0.207,0.052,0.172,0.034,0.397,NA,NA,NA,NA,NA,NA,NA
"LAW 364 - ZIFFREN, K.",0.111,0.333,0.111,0.222,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"LAW 376 - OLSEN, F.E.",0.25,0.15,0.1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"LAW 380 - STARK, K.J.",0.409,0.045,0.091,NA,NA,0.455,NA,NA,NA,NA,NA,NA,NA
"LAW 390 - BAWDEN, E.A.",0.2,0.2,0.1,0.1,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 399 - MULLER, F.T.",0.133,0.133,0.2,0.067,0.067,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 403 - CHUNG, T.Y.",0.143,0.238,0.048,0.206,NA,0.365,NA,NA,NA,NA,NA,NA,NA
"LAW 410 - MARCUS, D.W.",0.167,0.286,0.024,0.095,NA,0.405,NA,NA,0.024,NA,NA,NA,NA
"LAW 424 - STONE, R.",0.286,0.214,NA,0.143,NA,0.357,NA,NA,NA,NA,NA,NA,NA
"LAW 432 - BANK, S.",0.333,0.111,0.037,0.185,0.037,0.296,NA,NA,NA,NA,NA,NA,NA
"LAW 439 - CANNON, K.C.",0.242,0.152,0.061,0.091,NA,0.455,NA,NA,NA,NA,NA,NA,NA
"LAW 440 - ROBERTS, M.T.",0.371,0.086,0.029,0.086,NA,0.429,NA,NA,NA,NA,NA,NA,NA
"LAW 446 - ABE, G.J.",0.5,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"LAW 447 - HARTMAN, S.E.",0.333,0.067,0.133,0.067,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 475 - REICH, P.L.",0.158,0.237,0.039,0.197,0.013,0.355,NA,NA,NA,NA,NA,NA,NA
"LAW 483 - ALBEN, A.D.",0.31,0.069,0.103,0.103,NA,0.414,NA,NA,NA,NA,NA,NA,NA
"LAW 509 - TSOSIE, R.A.",0.722,0.111,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 529 - BEGLIN, D.P.",0.643,0.071,0.071,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"LAW 536 - STARK, K.J.",0.882,NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 537 - ZATZ, N.D.",0.4,0.24,0.04,0.04,NA,0.28,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - EAGLY, I.",0.706,0.118,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - NARRO, V.H.",0.812,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - SEARS, R.B.",0.812,0.125,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 566 - PEAKE, J.S.",0.412,0.529,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"LAW 569A - SHIFFRIN, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 578 - HESSLER, C.A.",0.6,0.15,NA,0.05,0.05,0.15,NA,NA,NA,NA,NA,NA,NA
"LAW 584 - STEMPLE, L.",0.375,0.312,0.062,0.125,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"LAW 612 - CANTOR, J.D.",0.5,0.417,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 615 - HECHT, S.B.",0.5,0.333,NA,NA,NA,0.111,NA,NA,0.056,NA,NA,NA,NA
"LAW 636 - WANG, A.",0.45,0.25,0.1,0.05,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"LAW 644 - EMERSON, B.E.",0.375,0.5,0.062,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA
"LAW 657 - STEINBERG, R.H.",0.846,NA,0.077,NA,NA,0.077,NA,NA,NA,NA,NA,NA,NA
"LAW 671 - FALSAFI, S.",0.5,0.312,NA,0.062,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"LAW 678 - DECKER, E.M.",0.278,0.444,0.111,0.111,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"LAW 683 - COHEN, D.M.",0.133,0.4,0.2,0.067,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"LAW 707 - LANNING, D.P.",0.4,0.35,0.05,0.05,NA,0.15,NA,NA,NA,NA,NA,NA,NA
"LAW 738 - STEIN, J.E.",0.6,0.1,0.1,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
"LAW 739 - CUMMINGS, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 741 - MALLOY, T.",0.929,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 757 - BABBE, D.B.",0.5,0.25,0.125,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA
"LAW 763 - KOROBKIN, S.A.",0.333,0.25,NA,0.083,0.083,0.25,NA,NA,NA,NA,NA,NA,NA
"LAW 769 - COHEN, D.M.",0.357,0.429,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 779 - CONSOLI, A.",0.778,0.111,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 787 - REICH, P.L.",0.5,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 807 - CHRIST, A.C.",0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 809 - SCHNAPS, A.",0.867,0.067,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR&WS 10 - VALENZUELA, A.",0.464,0.252,NA,0.108,0.028,0.12,0.012,NA,0.016,NA,NA,NA,NA
"LBR&WS 101 - RIVERA-SALGADO, G.",0.327,0.286,0.082,0.102,0.051,0.061,NA,0.01,0.041,0.01,NA,NA,0.031
"LBR&WS 140 - ESPINO, V.R.",0.317,0.195,0.293,0.024,0.098,0.049,NA,NA,NA,NA,NA,NA,0.024
"LBR&WS 174 - KOONSE, T.F.",0.458,0.085,0.271,0.051,0.034,0.034,0.017,NA,0.034,0.017,NA,NA,NA
"LBR&WS 179A - ROCCO, R.A.",0.345,0.207,0.069,0.034,0.034,0.241,NA,NA,NA,NA,NA,NA,0.069
"LBR&WS M166A - RODRIGUEZ, M.I.",0.728,0.109,0.054,0.022,0.054,0.033,NA,NA,NA,NA,NA,NA,NA
"LGBTQS 181 - MORRIS, M.B.",0.278,0.167,NA,0.222,0.111,0.111,0.056,NA,0.056,NA,NA,NA,NA
"LIFESCI 107 - PHAM, H.D.",0.383,0.109,0.135,0.116,0.046,0.089,0.053,0.007,0.026,0.02,NA,0.007,0.01
"LIFESCI 15 - PHELAN, J.P.",0.293,0.092,0.018,0.216,0.074,0.104,0.151,0.006,0.036,0.006,NA,NA,0.006
"LIFESCI 192A - SHAKED, S.",0.895,0.021,0.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - PIRES, D.B.",0.75,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - PIRES, D.B.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PFLUEGL, G.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PIRES, D.B.",0.833,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHAKED, S.",0.947,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHEVTSOV, J.",0.938,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192E - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 20 - SHEVTSOV, J.",0.222,0.079,0.063,0.286,0.127,0.111,0.063,NA,0.048,NA,NA,NA,NA
"LIFESCI 23L - PFLUEGL, G.",0.424,0.201,0.224,0.051,0.012,0.07,0.006,0.001,0.004,NA,NA,0.001,0.004
"LIFESCI 30A - JAROSZEWICZ, A.T.",0.256,0.172,0.244,0.071,0.05,0.08,0.042,0.013,0.042,0.008,0.013,NA,0.008
"LIFESCI 30A - KERANEN, J.P.",0.205,0.086,0.597,0.017,0.017,0.042,0.005,0.003,0.015,NA,NA,0.002,0.012
"LIFESCI 7A - BRAYBROOK, S.A.",0.367,0.149,NA,0.117,0.066,0.109,0.097,NA,0.046,0.029,NA,NA,0.02
"LIFESCI 7A - LIN, C.",0.344,0.131,NA,0.147,0.078,0.139,0.058,NA,0.069,0.025,NA,NA,0.008
"LIFESCI 7A - MCEVOY, M.M.",0.193,0.124,0.006,0.147,0.115,0.149,0.086,0.029,0.098,0.014,NA,0.029,0.011
"LIFESCI 7A - PHAM, H.D.",0.242,0.135,0.112,0.133,0.061,0.112,0.101,NA,0.055,0.012,0.009,0.017,0.012
"LIFESCI 7B - GILBERT, P.S.",0.275,0.24,0.053,0.158,0.064,0.123,0.023,0.018,0.012,0.006,NA,0.018,0.012
"LIFESCI 7B - PIRES, D.B.",0.287,0.277,NA,0.125,0.062,0.192,0.027,NA,0.03,NA,NA,NA,NA
"LIFESCI 7C - ESDIN, J.",0.367,0.172,0.037,0.172,0.051,0.114,0.013,NA,0.074,NA,NA,NA,NA
"LIFESCI 7C - HSIAO, E.Y.",0.216,0.211,0.027,0.169,0.094,0.184,0.05,0.002,0.045,0.002,NA,NA,NA
"LING 1 - SHARVIT, Y.",0.344,0.267,0.166,0.072,0.022,0.106,0.007,NA,0.015,NA,NA,NA,NA
"LING 103 - FAYTAK, M.",0.067,0.233,NA,0.167,0.133,0.233,NA,NA,0.167,NA,NA,NA,NA
"LING 110 - GOLDSTEIN, D.M.",0.542,0.125,0.25,NA,NA,0.042,0.042,NA,NA,NA,NA,NA,NA
"LING 119A - AHN, S.",0.263,0.079,0.263,0.079,0.079,0.132,0.026,0.026,0.053,NA,NA,NA,NA
"LING 120A - ZURAW, K.R.",0.188,0.375,0.062,0.125,0.062,0.188,NA,NA,NA,NA,NA,NA,NA
"LING 120B - LOCCIONI, N.",0.224,0.118,0.171,0.092,0.066,0.132,0.066,0.026,0.066,NA,NA,NA,0.039
"LING 132 - HARRIS, J.A.",0.186,0.047,0.674,0.023,NA,0.047,NA,NA,0.023,NA,NA,NA,NA
"LING 165B - LOCCIONI, N.",0.152,0.182,0.121,0.152,0.091,0.182,0.061,NA,0.061,NA,NA,NA,NA
"LING 170 - BAHTINA, D.",0.189,0.081,0.703,NA,NA,0.027,NA,NA,NA,NA,NA,NA,NA
"LING 20 - SCHUTZE, C.T.",0.175,0.159,0.159,0.095,0.063,0.143,0.127,0.032,NA,NA,NA,0.016,0.032
"LING 20 - SILVESTRI, G.",0.183,0.148,0.028,0.169,0.141,0.077,0.085,0.042,NA,0.049,0.014,0.007,0.056
"LING 200A - SHIH, S.",0.5,0.143,0.286,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"LING 200B - POOLE, E.J.",0.769,NA,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LING 200C - BUMFORD, D.",0.571,0.071,0.286,NA,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"LING C140 - SILVESTRI, G.",0.182,0.273,0.061,0.182,0.03,0.152,0.061,NA,0.061,NA,NA,NA,NA
