"CLASS","A","A-","A+","B","B-","B+","C","C-","C+","D","D-","D+","F"
"JAPAN 4 - MENJO, S.",0.471,0.353,NA,0.059,NA,0.088,NA,NA,0.029,NA,NA,NA,NA
"JAPAN 50 - DUTHIE, T.",0.736,0.135,0.104,0.01,0.005,0.005,0.005,NA,NA,NA,NA,NA,NA
"JEWISH M10 - BONESHO, C.E.",0.286,0.314,0.029,0.143,NA,0.143,0.029,NA,0.029,NA,NA,NA,0.029
"JEWISH M144 - ABRAMSON, S.D.",0.733,NA,0.067,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEWISH M182A - SMOAK, J.D.",0.35,0.3,NA,0.15,0.1,0.05,NA,NA,NA,0.05,NA,NA,NA
"KOREA 1 - CHOI, J.B.",0.371,0.041,0.536,NA,0.01,0.021,0.01,NA,0.01,NA,NA,NA,NA
"KOREA 1 - MITSUNAGA, J.I.",0.298,0.053,0.564,0.021,0.032,0.021,0.011,NA,NA,NA,NA,NA,NA
"KOREA 100A - YOON, J.E.",0.485,0.242,0.121,0.091,0.03,0.03,NA,NA,NA,NA,NA,NA,NA
"KOREA 102A - CHOI, J.B.",0.778,NA,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 104A - JEON, S.",0.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 172 - OAK, S.",0.565,0.087,NA,0.043,0.087,0.174,NA,NA,0.043,NA,NA,NA,NA
"KOREA 184A - JUNG-KIM, J.J.",0.276,0.379,NA,0.138,0.069,0.069,0.069,NA,NA,NA,NA,NA,NA
"KOREA 1A - JU, H.",0.372,0.093,0.488,NA,0.023,NA,0.023,NA,NA,NA,NA,NA,NA
"KOREA 4 - JEON, S.",0.486,NA,0.459,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 4 - JU, H.",0.429,0.095,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOREA 80 - HANSCOM, C.P.",0.538,0.166,0.161,0.03,NA,0.08,0.005,NA,NA,0.005,NA,NA,0.015
"KOREA C151 - HANSCOM, C.P.",0.444,0.333,0.056,NA,NA,0.056,NA,NA,NA,NA,NA,NA,0.111
"LATIN 1 - BECKELHYMER, S.D.",0.261,0.087,0.609,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LATIN 1 - CANTU, P.M.",0.455,0.091,0.364,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"LATIN 1 - VINE, B.H.",0.3,0.067,0.433,0.033,NA,0.1,NA,NA,0.067,NA,NA,NA,NA
"LATIN 20 - SPIELBERG, L.M.",0.636,0.091,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LATIN 3 - VINE, B.H.",0.357,0.143,0.214,0.071,0.071,NA,0.071,NA,NA,NA,NA,NA,0.071
"LATN AM 205 - TAUB, B.",0.818,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 100 - MALLOY, T.",0.164,0.288,0.027,0.137,0.096,0.288,NA,NA,NA,NA,NA,NA,NA
"LAW 100 - STONE, R.",0.186,0.257,0.043,0.143,0.057,0.314,NA,NA,NA,NA,NA,NA,NA
"LAW 112 - KOROBKIN, R.",0.314,0.229,0.057,0.057,NA,0.343,NA,NA,NA,NA,NA,NA,NA
"LAW 113 - MALLOY, T.",0.417,0.25,0.083,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"LAW 114 - MERRILL, C.A.",0.357,0.357,NA,0.214,NA,0.071,NA,NA,NA,NA,NA,NA,NA
"LAW 120 - DOLOVICH, S.",0.171,0.286,0.029,0.143,0.086,0.286,NA,NA,NA,NA,NA,NA,NA
"LAW 120 - THAXTON, S.",0.162,0.243,0.027,0.135,0.135,0.297,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BALDWIN CLARK, L.J",0.156,0.281,0.031,0.125,0.062,0.344,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BANNER, S.A.",0.158,0.237,0.053,0.184,0.105,0.263,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - BRYANT, T.L.",0.189,0.27,0.027,0.162,0.081,0.27,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - PARSON, E.",0.121,0.273,0.061,0.091,0.091,0.364,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - RILEY, A.R.",0.162,0.243,0.027,0.135,0.135,0.297,NA,NA,NA,NA,NA,NA,NA
"LAW 130 - ZASLOFF, J.",0.194,0.278,NA,0.111,0.111,0.306,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - GRADY, M.",0.178,0.26,0.027,0.151,0.11,0.274,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - SELBST, A.D.",0.135,0.216,0.081,0.135,0.135,0.297,NA,NA,NA,NA,NA,NA,NA
"LAW 140 - WANG, A.",0.176,0.265,0.029,0.176,0.029,0.324,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - MARCUS, D.W.",0.145,0.237,0.039,0.158,0.132,0.289,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - PARK, J.",0.143,0.257,0.057,0.086,0.143,0.314,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCALLEN, E.",0.114,0.257,0.057,0.2,0.086,0.286,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SCHWARTZ, J.C.",0.197,0.254,0.014,0.141,0.113,0.282,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - SPILLENGER, C.S.",0.194,0.25,0.028,0.139,0.083,0.306,NA,NA,NA,NA,NA,NA,NA
"LAW 145 - YEAZELL, S.C.",0.079,0.211,0.079,0.211,0.132,0.289,NA,NA,NA,NA,NA,NA,NA
"LAW 201 - GOLDSTEIN, R.D.",0.364,0.152,0.03,0.091,NA,0.364,NA,NA,NA,NA,NA,NA,NA
"LAW 202 - CARBADO, D.W.",0.31,0.138,0.034,0.103,NA,0.414,NA,NA,NA,NA,NA,NA,NA
"LAW 202 - CHACON, J.M.",0.212,0.271,0.024,0.153,NA,0.341,NA,NA,NA,NA,NA,NA,NA
"LAW 205 - GOODMAN, P.D.",0.202,0.31,0.036,0.119,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"LAW 207 - SLEVIN, H.F.",0.205,0.227,0.045,0.182,NA,0.341,NA,NA,NA,NA,NA,NA,NA
"LAW 211 - LEVENSON, L.",0.167,0.264,0.056,0.125,0.014,0.375,NA,NA,NA,NA,NA,NA,NA
"LAW 211 - WONSOWICZ, P.",0.197,0.276,0.039,0.118,0.013,0.355,NA,NA,NA,NA,NA,NA,NA
"LAW 216 - MICHAELS, J.",0.297,0.243,0.054,0.027,NA,0.378,NA,NA,NA,NA,NA,NA,NA
"LAW 220 - BANK, S.",0.324,0.189,0.027,0.081,NA,0.378,NA,NA,NA,NA,NA,NA,NA
"LAW 220 - OH, J.S.",0.209,0.256,0.07,0.093,NA,0.372,NA,NA,NA,NA,NA,NA,NA
"LAW 222 - BAWDEN, E.A.",0.2,0.3,0.1,0.1,0.1,0.2,NA,NA,NA,NA,NA,NA,NA
"LAW 228 - BAINBRIDGE, S.M.",0.318,0.045,0.136,0.091,0.045,0.364,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - LOPUCKI, L.M.",0.197,0.289,0.039,0.105,NA,0.368,NA,NA,NA,NA,NA,NA,NA
"LAW 230 - VERSTEIN, A.",0.268,0.195,0.024,0.073,0.024,0.415,NA,NA,NA,NA,NA,NA,NA
"LAW 234 - POWER, J.J.",0.212,0.308,0.038,0.096,NA,0.346,NA,NA,NA,NA,NA,NA,NA
"LAW 240 - GRADY, M.",0.368,NA,0.105,0.105,NA,0.421,NA,NA,NA,NA,NA,NA,NA
"LAW 248 - BUSSEL, D.J.",0.286,0.179,0.071,0.036,NA,0.429,NA,NA,NA,NA,NA,NA,NA
"LAW 261 - AMES, S.R.",0.255,0.216,NA,0.196,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"LAW 266 - GOMEZ, L.E.",0.265,0.118,0.059,0.059,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"LAW 270 - BALI, A.U.",0.25,0.188,0.062,0.062,NA,0.438,NA,NA,NA,NA,NA,NA,NA
"LAW 272 - STEINBERG, R.H.",0.357,NA,0.071,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA
"LAW 274 - NETANEL, N.W.",0.281,0.156,0.062,0.062,0.031,0.375,NA,NA,NA,NA,NA,0.031,NA
"LAW 278 - GARDBAUM, S.A.",0.176,0.235,0.059,0.059,NA,0.471,NA,NA,NA,NA,NA,NA,NA
"LAW 285 - CUMMINGS, S.",0.262,0.214,0.024,0.143,NA,0.357,NA,NA,NA,NA,NA,NA,NA
"LAW 290 - CARLSON, A.E.",0.312,0.125,0.094,0.031,NA,0.438,NA,NA,NA,NA,NA,NA,NA
"LAW 295 - COLGAN, B.",0.381,NA,0.095,0.048,NA,0.476,NA,NA,NA,NA,NA,NA,NA
"LAW 298 - LANGER, M.",0.308,0.308,0.077,0.077,NA,0.231,NA,NA,NA,NA,NA,NA,NA
"LAW 300 - STONE, R.",0.25,0.225,0.05,0.075,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 302 - NETANEL, N.W.",0.222,0.289,0.067,0.067,NA,0.356,NA,NA,NA,NA,NA,NA,NA
"LAW 303 - GENCO, S.C.",0.256,0.186,0.047,0.186,NA,0.326,NA,NA,NA,NA,NA,NA,NA
"LAW 305 - AKENS, S.E.",0.275,0.1,0.075,0.15,NA,0.4,NA,NA,NA,NA,NA,NA,NA
"LAW 305 - TANG, X.",0.321,0.143,0.036,0.179,NA,0.321,NA,NA,NA,NA,NA,NA,NA
"LAW 306 - LICHTMAN, D.G.",0.353,0.059,0.118,NA,NA,0.471,NA,NA,NA,NA,NA,NA,NA
"LAW 307 - LICHTMAN, D.G.",0.184,0.224,0.041,0.184,0.02,0.347,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - CUMMINGS, S.",0.186,0.257,0.014,0.186,NA,0.357,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - DERIAN, S.K.",0.208,0.302,0.038,0.094,NA,0.358,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - KIM, S.H.",0.114,0.371,0.029,0.057,NA,0.429,NA,NA,NA,NA,NA,NA,NA
"LAW 312 - WINKLER, A.D.",0.172,0.241,0.034,0.155,0.017,0.379,NA,NA,NA,NA,NA,NA,NA
"LAW 316 - GLATER, J.D.",0.125,0.25,0.042,0.042,NA,0.542,NA,NA,NA,NA,NA,NA,NA
"LAW 331 - MOTOMURA, H.",0.321,0.143,0.036,NA,0.036,0.464,NA,NA,NA,NA,NA,NA,NA
"LAW 348 - GARDBAUM, S.A.",0.25,0.25,0.083,NA,NA,0.417,NA,NA,NA,NA,NA,NA,NA
"LAW 350 - BOYD, W.C.",0.273,0.227,NA,0.091,0.045,0.364,NA,NA,NA,NA,NA,NA,NA
"LAW 358 - POWER, J.J.",0.146,0.271,0.125,0.104,NA,0.354,NA,NA,NA,NA,NA,NA,NA
"LAW 364 - ZIFFREN, K.",0.455,0.273,0.182,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 376 - OLSEN, F.E.",0.4,NA,0.1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"LAW 399 - MULLER, F.T.",0.444,0.111,0.222,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 434 - HABIBI, P.B.",0.5,NA,NA,0.056,NA,0.444,NA,NA,NA,NA,NA,NA,NA
"LAW 446 - ABE, G.J.",0.308,0.308,NA,NA,NA,0.385,NA,NA,NA,NA,NA,NA,NA
"LAW 451 - VAZQUEZ, J.I.",0.143,0.286,0.071,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA
"LAW 504 - SELBST, A.D.",0.364,0.455,0.091,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA
"LAW 506 - PARK, J.",0.6,0.3,0.05,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
"LAW 508 - ROBERTS, M.T.",0.625,0.25,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 513 - HECHT, S.B.",0.95,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 515 - MICHAELS, J.",0.95,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 536 - STARK, K.J.",0.889,NA,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 540 - MCCARL, R.",0.308,0.346,0.231,0.077,NA,0.038,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - NARRO, V.H.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - SCHWARTZ, J.C.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 541 - SEARS, R.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 545 - SCHWARTZ, J.C.",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 559 - ALBEN, A.",0.579,0.316,0.053,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"LAW 566 - PEAKE, J.S.",0.4,0.533,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 568 - FURTH, M.",0.667,0.056,0.222,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA
"LAW 584 - STEMPLE, L.",0.389,0.278,0.111,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA
"LAW 588 - MERRILL, C.A.",0.308,0.231,NA,NA,NA,0.462,NA,NA,NA,NA,NA,NA,NA
"LAW 603 - CHACON, J.M.",0.632,0.263,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 606 - ANABTAWI, I.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 608 - HORWITZ, J.",0.286,0.5,NA,NA,NA,0.214,NA,NA,NA,NA,NA,NA,NA
"LAW 614 - LANGER, M.",0.684,0.263,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA
"LAW 636 - WANG, A.",0.667,0.083,0.083,NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA
"LAW 655 - OLSEN, F.E.",0.571,0.143,0.143,NA,NA,0.143,NA,NA,NA,NA,NA,NA,NA
"LAW 671 - FALSAFI, S.",0.529,0.353,0.059,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA
"LAW 683 - COHEN, D.M.",0.25,0.562,NA,NA,NA,0.188,NA,NA,NA,NA,NA,NA,NA
"LAW 707 - SCULLY, E.P.",0.45,0.4,0.05,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"LAW 728 - VAN SCHILFGAARDE,",0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 730 - NISHIMOTO, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 757 - BABBE, D.B.",0.611,0.333,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 763 - KOROBKIN, S.A.",0.423,0.423,0.038,NA,NA,0.115,NA,NA,NA,NA,NA,NA,NA
"LAW 769 - COHEN, D.M.",0.5,0.333,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 774 - REICH, P.L.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 792 - RABIN, N.A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 805 - HIRSCH, R.G.",0.818,0.091,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 807 - CHRIST, A.C.",0.8,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 832 - BARRETO, M.A.",0.889,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAW 835 - VIRANI, A.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 10 - VALENZUELA, A.",0.566,0.141,0.145,0.082,NA,0.055,0.004,0.004,0.004,NA,NA,NA,NA
"LBR STD 101 - RIVERA-SALGADO, G.",0.327,0.143,0.306,0.061,0.02,0.102,NA,NA,0.02,NA,NA,NA,0.02
"LBR STD 140 - ESPINO, V.R.",0.356,0.153,0.271,0.051,NA,0.068,NA,NA,NA,0.017,0.017,0.034,0.034
"LBR STD 153 - GAFFNEY, L.M.",0.935,0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 179A - ROCCO, R.A.",0.517,0.379,0.034,0.034,NA,0.034,NA,NA,NA,NA,NA,NA,NA
"LBR STD 188 - GRIFFEY, T.S.",0.156,0.281,0.25,0.031,0.031,0.156,0.094,NA,NA,NA,NA,NA,NA
"LBR STD 188 - HAAS, G.S.",0.952,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 194B - NEWMAN, C.",0.647,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD 97 - HIGBIE, F.T.",0.417,0.417,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR STD M175 - VON BLUM, P.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGBTQS 181 - MORRIS, M.B.",0.267,0.2,0.467,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA
"LGBTQS 183 - MORRIS, M.B.",0.118,0.118,0.588,0.059,NA,NA,0.059,NA,NA,NA,NA,NA,0.059
"LGBTQS M114 - WOOLSEY, M.F.",0.449,0.034,0.475,0.008,0.008,0.017,NA,NA,0.008,NA,NA,NA,NA
"LIFESCI 107 - PHAM, H.D.",0.651,0.108,0.06,0.048,0.039,0.055,0.01,0.005,0.01,0.002,0.002,0.002,0.007
"LIFESCI 15 - PHELAN, J.P.",0.458,0.084,0.033,0.165,0.096,0.132,0.021,NA,0.006,NA,NA,NA,0.006
"LIFESCI 192B - PIRES, D.B.",0.944,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192B - SHEVTSOV, J.",0.955,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - PIRES, D.B.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192C - SHEVTSOV, J.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PFLUEGL, G.M.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - PIRES, D.B.",0.947,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHAKED, S.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192D - SHEVTSOV, J.",0.95,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 192E - SHAKED, S.",0.917,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIFESCI 23L - PFLUEGL, G.M.",0.241,0.046,0.693,0.006,0.003,0.009,NA,NA,0.002,NA,NA,NA,NA
"LIFESCI 30A - BENNOUN, S.J.",0.209,0.091,0.562,0.029,0.021,0.035,0.018,0.012,0.003,NA,NA,0.006,0.015
"LIFESCI 30A - KERANEN, J.P.",0.146,0.067,0.72,0.012,0.007,0.021,0.005,0.001,0.004,0.004,0.004,NA,0.008
"LIFESCI 30A - VENUGOPAL, S.",0.249,NA,0.689,0.03,0.003,0.008,0.005,NA,0.005,NA,0.003,NA,0.008
"LIFESCI 30B - SHEVTSOV, J.",0.7,0.042,0.158,0.042,NA,0.008,0.017,0.008,NA,NA,NA,0.008,0.017
"LIFESCI 40 - VENUGOPAL, S.",0.43,0.047,0.224,0.056,0.019,0.093,0.084,0.019,0.009,NA,NA,NA,0.019
"LIFESCI 7A - BRAYBROOK, S.",0.539,0.193,0.047,0.072,0.031,0.054,0.029,NA,0.013,0.011,NA,NA,0.009
"LIFESCI 7A - LAZAZZERA, B.A.",0.283,0.16,0.125,0.171,0.054,0.125,0.035,0.019,0.014,0.003,0.005,0.003,0.003
"LIFESCI 7A - MALOY, J.P.",0.603,0.142,0.05,0.048,0.028,0.079,0.011,NA,0.017,0.011,NA,NA,0.011
"LIFESCI 7A - MCEVOY, M.M.",0.476,0.141,0.014,0.108,0.046,0.124,0.046,NA,0.016,0.016,NA,0.005,0.008
"LIFESCI 7B - KANE, T.L.",0.642,0.157,0.028,0.046,0.019,0.077,0.012,NA,0.012,NA,NA,0.003,0.003
"LIFESCI 7B - PHAM, H.D.",0.571,0.171,0.035,0.071,0.018,0.1,0.012,0.006,0.012,NA,NA,NA,0.006
"LIFESCI 7C - ESDIN, J.",0.626,0.112,0.049,0.06,0.023,0.075,0.034,NA,0.017,NA,NA,NA,0.003
"LIFESCI 7C - HSIAO, E.Y.",0.6,0.114,0.051,0.068,0.022,0.075,0.046,NA,0.019,0.005,NA,NA,NA
"LIFESCI M192A - SHAKED, S.",0.979,0.014,NA,0.003,0.003,NA,NA,NA,NA,NA,NA,NA,NA
"LING 1 - SILVESTRI, G.",0.422,0.123,0.246,0.051,0.028,0.072,0.015,0.004,0.015,0.008,0.002,0.002,0.013
"LING 103 - SUNDARA, M.",0.381,0.214,0.238,0.024,0.024,0.071,NA,NA,0.024,NA,NA,NA,0.024
"LING 119A - BELL, E.A.",0.312,0.25,0.031,0.125,0.062,0.156,0.031,NA,NA,NA,NA,NA,0.031
"LING 120B - SCHUTZE, C.T.",0.228,0.175,0.193,0.07,0.035,0.088,0.07,NA,0.035,0.018,0.018,0.018,0.053
"LING 130 - LOCCIONI, N.",0.237,0.289,0.211,0.053,0.053,0.026,NA,0.026,NA,NA,NA,0.053,0.053
"LING 144 - YOKOYAMA, O.T.",0.412,0.235,0.118,0.059,0.059,0.118,NA,NA,NA,NA,NA,NA,NA
"LING 165B - LOCCIONI, N.",0.312,0.125,0.094,0.062,0.094,0.125,0.031,NA,0.125,NA,NA,NA,0.031
"LING 170 - BAHTINA, D.",0.306,0.083,0.514,0.028,0.014,0.014,NA,NA,0.014,0.014,NA,NA,0.014
"LING 20 - HUNTER, T.",0.252,0.185,0.143,0.084,0.042,0.16,0.017,0.017,0.034,NA,0.017,0.008,0.042
"LING 20 - KEINE, S.",0.284,0.147,0.248,0.055,0.037,0.101,0.037,0.009,0.028,0.009,NA,0.009,0.037
"LING C140 - BELL, E.A.",0.135,0.108,0.432,0.054,0.027,0.054,0.054,NA,NA,0.135,NA,NA,NA
"M E STD M50A - DANIELSON, A.",0.45,0.2,0.25,NA,NA,0.05,NA,NA,NA,NA,NA,NA,0.05
"M PHARM 251 - WU, T.",0.706,0.176,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M PHARM 291 - HERSCHMAN, H.R.",0.7,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 10 - BANERJEE, A.S.",0.333,0.222,0.185,0.148,NA,0.111,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 104 - HE, X.",0.227,0.114,0.477,0.068,NA,0.068,0.023,NA,0.023,NA,NA,NA,NA
"MAT SCI 104 - POZUELO, M.",0.267,0.044,0.089,0.2,0.022,0.244,0.044,0.044,NA,0.044,NA,NA,NA
"MAT SCI 110 - GOORSKY, M.S.",0.4,0.2,0.017,0.117,0.117,0.083,0.033,NA,0.033,NA,NA,NA,NA
"MAT SCI 110L - GOORSKY, M.S.",0.431,0.039,0.373,NA,0.02,0.059,0.02,0.039,NA,NA,NA,NA,0.02
"MAT SCI 130 - BALONIS, M.",0.271,0.229,0.062,0.146,0.104,0.167,NA,NA,NA,0.021,NA,NA,NA
"MAT SCI 160 - BESCHER, E.P.",0.111,0.222,NA,0.296,0.111,0.111,0.037,NA,0.074,NA,NA,NA,0.037
"MAT SCI 200 - XIE, Y.",0.158,0.158,0.158,0.105,NA,0.421,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 243C - MARIAN, J.",0.062,0.75,NA,NA,NA,0.188,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 248 - RAMAN, A.P.",0.2,0.2,0.2,0.1,NA,0.3,NA,NA,NA,NA,NA,NA,NA
"MAT SCI 252 - PEI, Q.",0.375,0.188,0.25,NA,NA,0.188,NA,NA,NA,NA,NA,NA,NA
"MAT SCI M105 - KODAMBAKA, S.",0.421,0.158,0.158,0.158,0.053,0.053,NA,NA,NA,NA,NA,NA,NA
"MATH 1 - GREENE, M.P.",0.482,0.143,0.027,0.125,0.045,0.045,0.054,0.027,0.018,NA,NA,NA,0.036
"MATH 105A - DALLAS, H.J.",0.529,0.294,NA,NA,0.059,0.118,NA,NA,NA,NA,NA,NA,NA
"MATH 110A - VENKATESH, S.N.",0.286,0.071,0.071,0.143,0.107,0.143,0.071,NA,0.071,NA,NA,NA,0.036
"MATH 110AH - GIESEKER, D.",0.698,0.016,0.063,0.048,0.032,0.111,NA,NA,0.032,NA,NA,NA,NA
"MATH 115A - ARANT, T.J.",0.264,0.125,0.014,0.278,0.069,0.097,0.083,0.014,0.028,0.014,NA,NA,0.014
"MATH 115A - BOEDIHARDJO, M.T.",0.319,0.021,0.021,0.064,0.106,0.277,0.043,0.021,0.064,NA,NA,NA,0.064
"MATH 115A - HAZEL, C.",0.233,0.095,0.034,0.233,0.078,0.121,0.095,0.034,0.052,0.009,NA,NA,0.017
"MATH 115A - HONDA, K.",0.36,0.16,0.093,0.12,0.107,0.12,NA,0.013,0.027,NA,NA,NA,NA
"MATH 115AH - ELMAN, R.S.",0.438,0.125,0.031,0.25,0.094,0.062,NA,NA,NA,NA,NA,NA,NA
"MATH 115AH - RUBIN, J.L.",0.152,0.273,NA,0.061,0.121,0.212,0.121,NA,0.061,NA,NA,NA,NA
"MATH 118 - MCKENZIE, D.",0.621,0.138,0.069,0.034,0.069,NA,NA,0.034,0.034,NA,NA,NA,NA
"MATH 120A - MAY, C.",0.471,0.059,0.029,0.118,0.029,0.147,0.118,NA,0.029,NA,NA,NA,NA
"MATH 131A - CAMERON, J.",0.397,0.206,0.063,0.048,0.079,0.048,0.079,NA,0.048,NA,NA,NA,0.032
"MATH 131A - DEUTSCH, S.",0.356,0.274,0.082,0.055,0.055,0.151,NA,NA,0.014,NA,NA,NA,0.014
"MATH 131A - FORLANO, J.A.",0.206,0.118,NA,0.088,0.147,0.118,0.059,0.059,0.059,0.059,NA,NA,0.088
"MATH 131AH - GREENE, R.E.",0.36,0.16,0.14,0.1,NA,0.08,0.1,0.02,NA,NA,NA,NA,0.04
"MATH 131B - GREENFELD, R.",0.286,0.114,NA,0.143,0.229,NA,0.143,0.057,NA,NA,NA,0.029,NA
"MATH 131B - MADRID PADILLA, J.",0.256,0.163,0.047,0.093,0.047,0.209,0.116,0.023,0.047,NA,NA,NA,NA
"MATH 132 - HOFF, D.J.",0.43,0.226,0.022,NA,0.054,0.194,0.043,NA,0.032,NA,NA,NA,NA
"MATH 134 - HARROP-GRIFFITHS,",0.273,0.273,NA,0.061,0.061,0.152,NA,0.061,0.091,NA,NA,NA,0.03
"MATH 134 - KILLIP, R.B.",0.304,0.304,0.043,0.174,NA,0.087,NA,NA,NA,NA,NA,NA,0.087
"MATH 135 - BISWAL, S.",0.154,0.192,0.038,0.038,0.154,0.115,0.077,0.038,0.115,NA,NA,0.038,0.038
